NDVI,NDWI,MSI,VV_dB,VH_dB,VV_VH_ratio,growth_fraction,crop_label,stage_label,stress_label,deficit_pct
0.617,0.117,1.579,-19.91,-14.16,1.406,0.367,Pulses,Vegetative,Severe Stress,59.3
0.485,0.149,1.472,-19.71,-14.12,1.396,0.2,Pulses,Vegetative,Severe Stress,51.3
0.12,0.122,1.537,-20.11,-14.65,1.373,1.0,Pulses,Harvest,Severe Stress,57.0
0.739,0.232,1.355,-19.31,-13.24,1.458,0.71,Maize,Maturity,Moderate Stress,36.8
0.335,0.468,0.909,-18.27,-13.04,1.401,0.911,Pulses,Maturity,Healthy,0.3
0.402,0.436,0.979,-18.23,-13.16,1.385,0.133,Pulses,Vegetative,Healthy,3.8
0.655,0.118,1.523,-20.13,-13.76,1.463,0.762,Wheat,Maturity,Severe Stress,55.8
0.396,0.114,1.542,-20.04,-14.2,1.411,0.92,Maize,Harvest,Severe Stress,57.8
0.792,0.296,1.263,-19.3,-13.07,1.477,0.683,Rice,Heading/Flowering,Mild Stress,29.7
0.693,0.465,0.933,-18.53,-12.7,1.459,0.25,Maize,Vegetative,Healthy,2.0
0.814,0.4,1.019,-18.62,-12.5,1.49,0.658,Rice,Heading/Flowering,Healthy,10.2
0.738,0.442,1.007,-18.28,-12.41,1.473,0.315,Wheat,Vegetative,Healthy,5.2
0.639,0.266,1.298,-19.53,-13.44,1.453,0.578,Pulses,Heading/Flowering,Moderate Stress,35.2
0.579,0.275,1.281,-19.14,-13.3,1.439,0.185,Wheat,Vegetative,Moderate Stress,33.0
0.844,0.107,1.539,-20.13,-13.73,1.466,0.45,Maize,Heading/Flowering,Severe Stress,57.8
0.88,0.131,1.554,-20.11,-13.36,1.505,0.492,Rice,Heading/Flowering,Severe Stress,55.8
0.56,0.413,1.007,-18.5,-12.92,1.432,0.722,Pulses,Maturity,Healthy,6.4
0.82,0.155,1.517,-19.79,-13.72,1.442,0.508,Wheat,Heading/Flowering,Severe Stress,52.6
0.646,0.26,1.307,-19.48,-13.5,1.443,0.544,Pulses,Heading/Flowering,Moderate Stress,33.8
0.202,0.296,1.222,-19.0,-14.1,1.348,0.978,Pulses,Harvest,Mild Stress,27.6
0.819,0.435,0.948,-18.53,-12.55,1.476,0.515,Wheat,Heading/Flowering,Healthy,4.1
0.541,0.345,1.151,-18.87,-13.34,1.415,0.858,Rice,Maturity,Mild Stress,18.9
0.819,0.39,1.107,-18.64,-12.5,1.491,0.523,Wheat,Heading/Flowering,Healthy,14.9
0.441,0.269,1.29,-19.35,-13.75,1.407,0.1,Maize,Vegetative,Moderate Stress,33.3
0.303,0.257,1.292,-19.44,-13.84,1.405,0.958,Rice,Harvest,Moderate Stress,34.4
0.877,0.202,1.405,-19.54,-13.29,1.47,0.533,Rice,Heading/Flowering,Moderate Stress,44.2
0.717,0.384,1.083,-18.8,-12.68,1.483,0.27,Maize,Vegetative,Healthy,13.8
0.623,0.184,1.423,-19.68,-13.66,1.441,0.2,Maize,Vegetative,Severe Stress,46.7
0.387,0.466,0.944,-18.22,-12.98,1.404,0.878,Pulses,Maturity,Healthy,0.4
0.648,0.255,1.324,-19.23,-13.5,1.424,0.533,Pulses,Heading/Flowering,Moderate Stress,37.2
0.807,0.392,1.021,-18.51,-12.7,1.457,0.63,Maize,Heading/Flowering,Healthy,11.0
0.592,0.199,1.407,-19.79,-13.85,1.429,0.322,Pulses,Vegetative,Severe Stress,45.0
0.585,0.12,1.552,-20.0,-13.84,1.445,0.689,Pulses,Heading/Flowering,Severe Stress,56.4
0.88,0.12,1.582,-19.89,-13.64,1.458,0.492,Rice,Heading/Flowering,Severe Stress,58.6
0.256,0.231,1.382,-19.48,-13.97,1.394,0.031,Wheat,Sowing,Moderate Stress,40.4
0.638,0.166,1.494,-19.92,-13.59,1.466,0.79,Maize,Maturity,Severe Stress,51.7
0.82,0.114,1.565,-20.05,-13.79,1.454,0.61,Maize,Heading/Flowering,Severe Stress,57.5
0.577,0.309,1.214,-19.17,-13.38,1.433,0.3,Pulses,Vegetative,Mild Stress,25.1
0.632,0.295,1.199,-18.97,-13.1,1.448,0.4,Pulses,Vegetative,Mild Stress,27.0
0.508,0.417,0.976,-18.37,-12.9,1.424,0.875,Rice,Maturity,Healthy,6.0
0.646,0.386,1.061,-18.84,-12.95,1.455,0.544,Pulses,Heading/Flowering,Healthy,11.8
0.202,0.415,1.057,-18.65,-13.64,1.367,0.022,Pulses,Sowing,Healthy,10.6
0.85,0.28,1.243,-19.34,-12.93,1.496,0.5,Maize,Heading/Flowering,Mild Stress,29.2
0.624,0.425,0.968,-18.63,-12.98,1.435,0.785,Wheat,Maturity,Healthy,5.9
0.82,0.168,1.498,-19.73,-13.6,1.451,0.61,Maize,Heading/Flowering,Severe Stress,50.3
0.848,0.346,1.145,-18.88,-12.78,1.477,0.47,Maize,Heading/Flowering,Mild Stress,21.6
0.26,0.307,1.172,-18.98,-13.55,1.401,0.03,Maize,Sowing,Mild Stress,24.7
0.844,0.267,1.312,-19.25,-13.02,1.478,0.617,Rice,Heading/Flowering,Moderate Stress,34.6
0.846,0.347,1.142,-19.07,-12.69,1.503,0.46,Maize,Heading/Flowering,Mild Stress,19.5
0.387,0.325,1.169,-19.09,-13.58,1.406,0.122,Pulses,Vegetative,Mild Stress,22.9
0.373,0.41,1.027,-18.74,-13.39,1.4,0.933,Rice,Harvest,Healthy,10.1
0.37,0.429,0.974,-18.42,-13.04,1.413,0.111,Pulses,Vegetative,Healthy,4.7
0.419,0.374,1.118,-18.69,-13.34,1.401,0.91,Maize,Maturity,Mild Stress,16.0
0.649,0.187,1.436,-19.62,-13.45,1.459,0.522,Pulses,Heading/Flowering,Moderate Stress,44.9
0.644,0.15,1.508,-19.96,-13.65,1.462,0.2,Rice,Vegetative,Severe Stress,51.3
0.291,0.201,1.398,-19.39,-14.27,1.359,0.96,Maize,Harvest,Moderate Stress,42.0
0.591,0.455,0.983,-18.23,-12.73,1.432,0.192,Wheat,Vegetative,Healthy,3.8
0.624,0.288,1.291,-19.21,-13.54,1.419,0.785,Wheat,Maturity,Moderate Stress,31.4
0.435,0.227,1.371,-19.53,-13.65,1.431,0.092,Rice,Vegetative,Moderate Stress,39.3
0.657,0.376,1.096,-18.79,-12.81,1.467,0.792,Rice,Maturity,Mild Stress,17.1
0.276,0.438,0.967,-18.45,-13.17,1.401,0.033,Rice,Sowing,Healthy,2.1
0.599,0.124,1.574,-20.07,-13.8,1.454,0.667,Pulses,Heading/Flowering,Severe Stress,58.5
0.485,0.105,1.546,-20.22,-14.04,1.44,0.2,Pulses,Vegetative,Severe Stress,58.2
0.353,0.203,1.416,-19.84,-14.12,1.405,0.9,Pulses,Maturity,Moderate Stress,44.9
0.844,0.303,1.266,-19.01,-12.84,1.481,0.45,Maize,Heading/Flowering,Mild Stress,28.9
0.848,0.324,1.179,-19.19,-12.77,1.503,0.47,Maize,Heading/Flowering,Mild Stress,24.7
0.839,0.357,1.118,-18.94,-12.79,1.481,0.375,Rice,Vegetative,Mild Stress,17.2
0.585,0.348,1.131,-18.7,-13.31,1.405,0.689,Pulses,Heading/Flowering,Mild Stress,18.0
0.557,0.473,0.925,-18.51,-12.62,1.467,0.85,Rice,Maturity,Healthy,0.4
0.642,0.361,1.081,-18.9,-12.9,1.465,0.567,Pulses,Heading/Flowering,Healthy,15.0
0.592,0.357,1.089,-18.61,-12.9,1.443,0.322,Pulses,Vegetative,Mild Stress,15.8
0.807,0.23,1.354,-19.35,-13.35,1.449,0.37,Maize,Vegetative,Moderate Stress,38.9
0.415,0.442,0.95,-18.39,-13.25,1.388,0.917,Rice,Maturity,Healthy,4.1
0.37,0.3,1.228,-19.04,-13.5,1.41,0.889,Pulses,Maturity,Mild Stress,27.2
0.26,0.395,1.006,-18.63,-13.42,1.388,0.03,Maize,Sowing,Healthy,9.1
0.811,0.353,1.101,-18.95,-12.7,1.492,0.562,Wheat,Heading/Flowering,Mild Stress,16.2
0.454,0.419,1.01,-18.67,-13.03,1.433,0.1,Rice,Vegetative,Healthy,9.0
0.85,0.182,1.469,-19.56,-13.53,1.446,0.5,Maize,Heading/Flowering,Severe Stress,48.0
0.763,0.423,0.957,-18.34,-12.73,1.441,0.654,Wheat,Heading/Flowering,Healthy,4.8
0.12,0.311,1.208,-18.9,-13.99,1.351,1.0,Maize,Harvest,Mild Stress,23.5
0.85,0.153,1.462,-19.93,-13.28,1.501,0.49,Maize,Heading/Flowering,Severe Stress,49.7
0.862,0.197,1.451,-19.66,-13.49,1.457,0.417,Rice,Vegetative,Severe Stress,46.3
0.792,0.309,1.208,-19.25,-13.17,1.462,0.392,Wheat,Vegetative,Mild Stress,27.7
0.88,0.31,1.157,-18.98,-12.79,1.484,0.508,Rice,Heading/Flowering,Mild Stress,23.3
0.8,0.202,1.39,-19.45,-13.45,1.446,0.675,Rice,Heading/Flowering,Moderate Stress,43.7
0.82,0.297,1.251,-19.13,-12.93,1.48,0.5,Wheat,Heading/Flowering,Mild Stress,28.9
0.808,0.124,1.567,-19.93,-13.65,1.46,0.431,Wheat,Vegetative,Severe Stress,58.4
0.751,0.185,1.474,-19.92,-13.46,1.48,0.331,Wheat,Vegetative,Severe Stress,47.7
0.216,0.114,1.587,-19.95,-14.47,1.379,0.017,Rice,Sowing,Severe Stress,58.1
0.854,0.189,1.453,-19.75,-13.31,1.484,0.4,Rice,Vegetative,Severe Stress,46.2
0.225,0.239,1.362,-19.43,-14.12,1.376,0.98,Maize,Harvest,Moderate Stress,37.5
0.674,0.286,1.269,-19.32,-13.09,1.476,0.254,Wheat,Vegetative,Mild Stress,29.3
0.838,0.208,1.425,-19.45,-13.29,1.464,0.57,Maize,Heading/Flowering,Moderate Stress,44.0
0.747,0.135,1.542,-20.11,-13.62,1.477,0.275,Rice,Vegetative,Severe Stress,53.9
0.749,0.228,1.39,-19.74,-13.51,1.461,0.7,Maize,Maturity,Moderate Stress,41.8
0.834,0.203,1.386,-19.43,-13.3,1.461,0.42,Maize,Vegetative,Moderate Stress,43.9
0.395,0.286,1.296,-19.35,-13.7,1.412,0.075,Rice,Sowing,Moderate Stress,31.9
0.83,0.476,0.931,-18.19,-12.5,1.455,0.59,Maize,Heading/Flowering,Healthy,0.0
0.327,0.444,0.913,-18.24,-13.15,1.387,0.95,Rice,Harvest,Healthy,1.1
0.821,0.21,1.4,-19.48,-13.27,1.468,0.35,Rice,Vegetative,Moderate Stress,43.3
0.56,0.276,1.282,-19.26,-13.62,1.414,0.278,Pulses,Vegetative,Moderate Stress,31.4
0.834,0.332,1.191,-19.11,-12.69,1.506,0.42,Maize,Vegetative,Mild Stress,24.6
0.411,0.179,1.477,-19.76,-13.97,1.414,0.092,Wheat,Vegetative,Severe Stress,50.1
0.491,0.302,1.232,-19.21,-13.48,1.425,0.117,Rice,Vegetative,Mild Stress,29.1
0.276,0.274,1.251,-19.37,-13.95,1.389,0.944,Pulses,Harvest,Mild Stress,29.4
0.7,0.397,1.091,-18.83,-12.66,1.487,0.723,Wheat,Maturity,Healthy,13.2
0.775,0.301,1.265,-19.0,-12.91,1.472,0.7,Rice,Maturity,Mild Stress,29.5
0.708,0.268,1.306,-19.45,-13.32,1.46,0.715,Wheat,Maturity,Moderate Stress,33.5
0.419,0.449,0.984,-18.4,-13.0,1.415,0.91,Maize,Maturity,Healthy,3.5
0.796,0.43,0.973,-18.62,-12.32,1.511,0.6,Wheat,Heading/Flowering,Healthy,4.7
0.816,0.28,1.262,-19.34,-13.03,1.484,0.462,Wheat,Heading/Flowering,Moderate Stress,31.9
0.849,0.242,1.331,-19.3,-13.01,1.483,0.608,Rice,Heading/Flowering,Moderate Stress,37.5
0.432,0.175,1.441,-19.57,-14.11,1.387,0.156,Pulses,Vegetative,Severe Stress,46.0
0.432,0.418,1.022,-18.65,-13.11,1.423,0.156,Pulses,Vegetative,Healthy,10.0
0.54,0.415,1.047,-18.64,-12.98,1.436,0.85,Maize,Maturity,Healthy,9.5
0.83,0.257,1.299,-19.47,-13.19,1.476,0.41,Maize,Vegetative,Moderate Stress,33.0
0.335,0.307,1.203,-19.15,-13.72,1.396,0.911,Pulses,Maturity,Mild Stress,25.8
0.858,0.18,1.41,-19.69,-13.45,1.464,0.408,Rice,Vegetative,Severe Stress,45.9
0.612,0.12,1.537,-19.93,-13.83,1.441,0.644,Pulses,Heading/Flowering,Severe Stress,57.6
0.667,0.465,0.943,-18.29,-12.74,1.436,0.77,Maize,Maturity,Healthy,1.0
0.799,0.111,1.557,-19.91,-13.87,1.435,0.592,Wheat,Heading/Flowering,Severe Stress,59.1
0.739,0.286,1.27,-19.07,-12.99,1.468,0.71,Maize,Maturity,Moderate Stress,30.7
0.377,0.307,1.232,-19.24,-13.63,1.412,0.077,Wheat,Sowing,Mild Stress,27.6
0.716,0.387,1.075,-18.69,-12.73,1.468,0.25,Rice,Vegetative,Mild Stress,15.4
0.67,0.449,0.97,-18.49,-12.67,1.459,0.783,Rice,Maturity,Healthy,4.6
0.171,0.219,1.377,-19.71,-14.39,1.37,0.989,Pulses,Harvest,Moderate Stress,42.2
0.319,0.188,1.403,-19.64,-14.25,1.378,0.05,Maize,Sowing,Moderate Stress,43.8
0.757,0.343,1.153,-18.89,-12.84,1.471,0.662,Wheat,Heading/Flowering,Mild Stress,20.9
0.815,0.205,1.416,-19.62,-13.18,1.489,0.454,Wheat,Heading/Flowering,Moderate Stress,44.9
0.316,0.358,1.126,-18.96,-13.4,1.415,0.078,Pulses,Sowing,Mild Stress,18.3
0.821,0.274,1.246,-19.1,-13.16,1.451,0.35,Rice,Vegetative,Moderate Stress,30.1
0.612,0.201,1.409,-19.67,-13.63,1.443,0.644,Pulses,Heading/Flowering,Severe Stress,45.2
0.639,0.171,1.466,-19.8,-13.59,1.457,0.422,Pulses,Vegetative,Severe Stress,47.2
0.46,0.186,1.411,-19.75,-13.73,1.438,0.822,Pulses,Maturity,Moderate Stress,44.7
0.56,0.323,1.218,-19.26,-13.23,1.456,0.722,Pulses,Maturity,Mild Stress,26.1
0.485,0.403,1.071,-18.57,-12.96,1.433,0.8,Pulses,Maturity,Healthy,11.9
0.737,0.435,0.985,-18.24,-12.7,1.436,0.267,Rice,Vegetative,Healthy,4.3
0.635,0.218,1.389,-19.5,-13.49,1.446,0.223,Wheat,Vegetative,Moderate Stress,40.3
0.844,0.264,1.317,-19.49,-13.23,1.473,0.45,Maize,Heading/Flowering,Moderate Stress,35.6
0.638,0.16,1.443,-19.96,-13.93,1.433,0.79,Maize,Maturity,Severe Stress,49.3
0.297,0.124,1.536,-19.77,-14.19,1.393,0.067,Pulses,Sowing,Severe Stress,55.5
0.631,0.201,1.408,-19.53,-13.56,1.44,0.808,Rice,Maturity,Moderate Stress,43.7
0.807,0.138,1.546,-20.14,-13.79,1.46,0.667,Rice,Heading/Flowering,Severe Stress,55.6
0.744,0.214,1.36,-19.69,-13.53,1.455,0.677,Wheat,Heading/Flowering,Moderate Stress,41.6
0.763,0.381,1.068,-18.81,-12.78,1.472,0.654,Wheat,Heading/Flowering,Healthy,12.5
0.739,0.298,1.236,-19.07,-13.17,1.448,0.71,Maize,Maturity,Mild Stress,29.0
0.674,0.258,1.324,-19.39,-13.24,1.465,0.746,Wheat,Maturity,Moderate Stress,35.0
0.373,0.349,1.127,-18.84,-13.22,1.425,0.067,Rice,Sowing,Mild Stress,17.0
0.377,0.238,1.339,-19.35,-13.9,1.392,0.923,Wheat,Harvest,Moderate Stress,39.3
0.54,0.154,1.493,-19.68,-13.75,1.431,0.85,Maize,Maturity,Severe Stress,51.1
0.806,0.158,1.517,-20.04,-13.69,1.464,0.577,Wheat,Heading/Flowering,Severe Stress,52.0
0.551,0.114,1.581,-20.1,-14.22,1.414,0.733,Pulses,Maturity,Severe Stress,58.6
0.779,0.405,1.065,-18.47,-12.79,1.444,0.369,Wheat,Vegetative,Healthy,11.9
0.395,0.378,1.104,-18.75,-13.18,1.423,0.085,Wheat,Vegetative,Healthy,14.8
0.52,0.471,0.924,-18.44,-12.83,1.437,0.233,Pulses,Vegetative,Healthy,1.1
0.759,0.111,1.589,-20.16,-13.79,1.462,0.31,Maize,Vegetative,Severe Stress,59.8
0.82,0.146,1.523,-19.92,-13.65,1.459,0.508,Wheat,Heading/Flowering,Severe Stress,52.7
0.813,0.378,1.091,-18.7,-12.83,1.458,0.554,Wheat,Heading/Flowering,Healthy,13.5
0.454,0.188,1.43,-19.78,-13.88,1.425,0.1,Rice,Vegetative,Moderate Stress,43.8
0.873,0.388,1.086,-18.58,-12.59,1.476,0.45,Rice,Heading/Flowering,Healthy,14.4
0.834,0.274,1.263,-19.16,-12.89,1.486,0.58,Maize,Heading/Flowering,Moderate Stress,32.5
0.395,0.414,1.006,-18.75,-13.37,1.402,0.925,Rice,Harvest,Healthy,8.3
0.877,0.113,1.59,-20.19,-13.58,1.487,0.467,Rice,Heading/Flowering,Severe Stress,59.7
0.814,0.453,0.972,-18.41,-12.5,1.473,0.342,Rice,Vegetative,Healthy,4.1
0.814,0.151,1.489,-19.63,-13.6,1.443,0.342,Rice,Vegetative,Severe Stress,50.4
0.848,0.118,1.58,-20.05,-13.56,1.479,0.53,Maize,Heading/Flowering,Severe Stress,57.7
0.623,0.176,1.433,-19.9,-13.6,1.463,0.2,Maize,Vegetative,Severe Stress,46.7
0.653,0.274,1.302,-19.13,-13.22,1.447,0.78,Maize,Maturity,Moderate Stress,34.0
0.716,0.422,0.956,-18.26,-12.57,1.453,0.708,Wheat,Maturity,Healthy,4.8
0.297,0.342,1.188,-18.96,-13.8,1.374,0.933,Pulses,Harvest,Mild Stress,22.4
0.602,0.407,1.035,-18.78,-13.07,1.437,0.175,Rice,Vegetative,Healthy,11.6
0.816,0.119,1.551,-19.99,-13.8,1.449,0.538,Wheat,Heading/Flowering,Severe Stress,57.0
0.631,0.388,1.057,-18.52,-12.74,1.454,0.808,Rice,Maturity,Healthy,12.3
0.387,0.284,1.249,-19.05,-13.75,1.385,0.878,Pulses,Maturity,Mild Stress,29.4
0.875,0.332,1.183,-19.0,-12.99,1.463,0.458,Rice,Heading/Flowering,Mild Stress,24.3
0.646,0.329,1.18,-19.11,-13.04,1.465,0.456,Pulses,Heading/Flowering,Mild Stress,23.6
0.624,0.302,1.208,-19.25,-13.18,1.461,0.215,Wheat,Vegetative,Mild Stress,27.1
0.871,0.267,1.3,-19.26,-13.13,1.467,0.558,Rice,Heading/Flowering,Moderate Stress,32.3
0.541,0.199,1.444,-19.73,-13.81,1.429,0.744,Pulses,Maturity,Severe Stress,45.9
0.642,0.145,1.492,-19.94,-13.85,1.44,0.567,Pulses,Heading/Flowering,Severe Stress,53.1
0.875,0.368,1.138,-18.88,-12.65,1.492,0.458,Rice,Heading/Flowering,Mild Stress,17.7
0.88,0.18,1.452,-19.92,-13.26,1.502,0.5,Rice,Heading/Flowering,Severe Stress,49.8
0.774,0.183,1.438,-19.78,-13.48,1.467,0.362,Wheat,Vegetative,Severe Stress,46.7
0.865,0.328,1.182,-18.9,-12.75,1.482,0.425,Rice,Vegetative,Mild Stress,24.8
0.351,0.308,1.249,-18.94,-13.51,1.402,0.942,Rice,Harvest,Mild Stress,27.3
0.694,0.205,1.41,-19.53,-13.41,1.456,0.767,Rice,Maturity,Moderate Stress,44.0
0.462,0.269,1.247,-19.08,-13.65,1.398,0.11,Maize,Vegetative,Moderate Stress,31.4
0.858,0.268,1.286,-19.21,-12.89,1.49,0.408,Rice,Vegetative,Moderate Stress,33.0
0.717,0.151,1.489,-19.69,-13.58,1.45,0.73,Maize,Maturity,Severe Stress,52.3
0.631,0.186,1.454,-19.6,-13.7,1.431,0.192,Rice,Vegetative,Severe Stress,46.1
0.636,0.233,1.358,-19.48,-13.5,1.443,0.411,Pulses,Vegetative,Moderate Stress,37.6
0.179,0.254,1.353,-19.42,-14.23,1.365,0.008,Rice,Sowing,Moderate Stress,37.4
0.509,0.173,1.447,-19.69,-13.81,1.426,0.778,Pulses,Maturity,Severe Stress,48.4
0.833,0.231,1.357,-19.66,-13.28,1.48,0.633,Rice,Heading/Flowering,Moderate Stress,39.6
0.819,0.157,1.519,-19.97,-13.61,1.467,0.485,Wheat,Heading/Flowering,Severe Stress,52.9
0.351,0.392,1.057,-18.54,-13.47,1.376,0.058,Rice,Sowing,Healthy,11.1
0.415,0.441,0.966,-18.55,-13.21,1.404,0.917,Rice,Maturity,Healthy,1.9
0.483,0.449,0.968,-18.43,-13.09,1.408,0.12,Maize,Vegetative,Healthy,2.9
0.638,0.213,1.377,-19.51,-13.44,1.452,0.79,Maize,Maturity,Moderate Stress,39.7
0.88,0.196,1.44,-19.57,-13.21,1.481,0.492,Rice,Heading/Flowering,Moderate Stress,45.0
0.834,0.333,1.145,-19.06,-12.84,1.484,0.42,Maize,Vegetative,Mild Stress,22.1
0.497,0.455,0.98,-18.49,-12.74,1.451,0.789,Pulses,Maturity,Healthy,3.9
0.838,0.261,1.251,-19.19,-12.97,1.48,0.43,Maize,Vegetative,Moderate Stress,31.6
0.624,0.256,1.291,-19.39,-13.44,1.443,0.215,Wheat,Vegetative,Moderate Stress,34.3
0.301,0.201,1.407,-19.52,-14.27,1.368,0.954,Wheat,Harvest,Moderate Stress,43.4
0.844,0.249,1.338,-19.5,-13.12,1.486,0.55,Maize,Heading/Flowering,Moderate Stress,36.5
0.575,0.252,1.332,-19.29,-13.48,1.431,0.17,Maize,Vegetative,Moderate Stress,36.9
0.569,0.174,1.448,-19.94,-13.93,1.431,0.711,Pulses,Maturity,Severe Stress,48.5
0.693,0.457,0.931,-18.23,-12.73,1.432,0.25,Maize,Vegetative,Healthy,0.1
0.803,0.189,1.447,-19.74,-13.62,1.449,0.415,Wheat,Vegetative,Severe Stress,48.0
0.844,0.265,1.273,-19.19,-13.05,1.47,0.45,Maize,Heading/Flowering,Moderate Stress,33.6
0.727,0.368,1.122,-18.92,-13.04,1.451,0.742,Rice,Maturity,Mild Stress,16.9
0.185,0.462,0.923,-18.44,-13.29,1.388,0.99,Maize,Harvest,Healthy,0.4
0.763,0.395,1.05,-18.48,-12.66,1.46,0.346,Wheat,Vegetative,Healthy,11.6
0.592,0.185,1.434,-19.78,-13.67,1.447,0.678,Pulses,Heading/Flowering,Severe Stress,47.8
0.52,0.137,1.515,-19.77,-13.84,1.428,0.767,Pulses,Maturity,Severe Stress,53.8
0.799,0.249,1.284,-19.48,-13.33,1.461,0.592,Wheat,Heading/Flowering,Moderate Stress,33.9
0.803,0.252,1.302,-19.23,-13.25,1.451,0.415,Wheat,Vegetative,Moderate Stress,34.6
0.419,0.124,1.55,-20.18,-14.17,1.424,0.09,Maize,Vegetative,Severe Stress,58.2
0.353,0.285,1.263,-19.09,-13.64,1.4,0.9,Pulses,Maturity,Moderate Stress,32.1
0.827,0.411,1.022,-18.6,-12.45,1.494,0.642,Rice,Heading/Flowering,Healthy,7.0
0.419,0.452,0.964,-18.41,-12.85,1.433,0.91,Maize,Maturity,Healthy,1.9
0.854,0.298,1.214,-18.97,-12.98,1.461,0.4,Rice,Vegetative,Mild Stress,27.1
0.667,0.412,1.0,-18.44,-12.68,1.454,0.23,Maize,Vegetative,Healthy,6.7
0.474,0.295,1.259,-19.39,-13.52,1.434,0.877,Wheat,Maturity,Moderate Stress,30.4
0.657,0.346,1.174,-19.1,-13.06,1.462,0.208,Rice,Vegetative,Mild Stress,20.4
0.12,0.348,1.157,-18.9,-13.8,1.37,1.0,Maize,Harvest,Mild Stress,19.6
0.682,0.21,1.426,-19.67,-13.39,1.469,0.225,Rice,Vegetative,Moderate Stress,43.5
0.204,0.367,1.107,-18.82,-13.68,1.376,0.015,Wheat,Sowing,Mild Stress,18.7
0.757,0.295,1.235,-19.09,-13.24,1.442,0.662,Wheat,Heading/Flowering,Mild Stress,28.0
0.26,0.263,1.304,-19.18,-13.98,1.372,0.03,Maize,Sowing,Moderate Stress,34.7
0.705,0.399,1.041,-18.58,-12.61,1.473,0.26,Maize,Vegetative,Healthy,11.6
0.253,0.421,1.016,-18.7,-13.31,1.405,0.956,Pulses,Harvest,Healthy,7.1
0.614,0.392,1.062,-18.56,-13.11,1.416,0.208,Wheat,Vegetative,Healthy,12.4
0.88,0.205,1.389,-19.71,-13.38,1.473,0.5,Rice,Heading/Flowering,Moderate Stress,42.3
0.788,0.231,1.31,-19.39,-13.42,1.445,0.615,Wheat,Heading/Flowering,Moderate Stress,36.8
0.276,0.305,1.258,-19.02,-13.81,1.377,0.033,Rice,Sowing,Mild Stress,28.2
0.567,0.324,1.195,-18.9,-13.11,1.442,0.177,Wheat,Vegetative,Mild Stress,25.6
0.387,0.335,1.155,-18.77,-13.43,1.398,0.878,Pulses,Maturity,Mild Stress,21.3
0.377,0.257,1.276,-19.13,-13.59,1.408,0.923,Wheat,Harvest,Moderate Stress,34.1
0.418,0.309,1.218,-19.08,-13.45,1.419,0.144,Pulses,Vegetative,Mild Stress,27.3
0.592,0.386,1.056,-18.87,-13.04,1.447,0.678,Pulses,Heading/Flowering,Healthy,13.9
0.848,0.329,1.168,-19.08,-12.72,1.5,0.47,Maize,Heading/Flowering,Mild Stress,23.5
0.83,0.303,1.239,-19.16,-13.1,1.463,0.59,Maize,Heading/Flowering,Mild Stress,29.3
0.599,0.146,1.497,-19.85,-13.84,1.434,0.667,Pulses,Heading/Flowering,Severe Stress,50.7
0.873,0.435,1.003,-18.41,-12.34,1.492,0.55,Rice,Heading/Flowering,Healthy,6.2
0.728,0.227,1.359,-19.33,-13.54,1.428,0.72,Maize,Maturity,Moderate Stress,39.0
0.432,0.32,1.185,-19.16,-13.46,1.423,0.844,Pulses,Maturity,Mild Stress,24.8
0.644,0.438,0.957,-18.25,-12.74,1.432,0.556,Pulses,Heading/Flowering,Healthy,4.0
0.623,0.261,1.288,-19.52,-13.5,1.446,0.622,Pulses,Heading/Flowering,Moderate Stress,34.0
0.766,0.229,1.391,-19.59,-13.23,1.481,0.708,Rice,Maturity,Moderate Stress,40.2
0.446,0.241,1.319,-19.56,-13.62,1.436,0.167,Pulses,Vegetative,Moderate Stress,35.5
0.541,0.369,1.128,-18.82,-13.36,1.409,0.256,Pulses,Vegetative,Mild Stress,18.5
0.648,0.296,1.23,-19.19,-13.14,1.46,0.467,Pulses,Heading/Flowering,Mild Stress,29.7
0.327,0.243,1.332,-19.31,-14.06,1.373,0.95,Rice,Harvest,Moderate Stress,34.8
0.766,0.405,1.013,-18.69,-12.74,1.467,0.708,Rice,Maturity,Healthy,9.0
0.569,0.394,1.063,-18.68,-12.94,1.444,0.289,Pulses,Vegetative,Healthy,12.3
0.841,0.216,1.402,-19.59,-13.31,1.472,0.56,Maize,Heading/Flowering,Moderate Stress,43.1
0.82,0.32,1.17,-19.17,-12.87,1.49,0.5,Wheat,Heading/Flowering,Mild Stress,24.3
0.739,0.127,1.584,-20.02,-13.66,1.466,0.71,Maize,Maturity,Severe Stress,58.1
0.54,0.152,1.512,-19.95,-13.88,1.437,0.15,Maize,Vegetative,Severe Stress,51.7
0.353,0.348,1.15,-18.98,-13.43,1.413,0.9,Pulses,Maturity,Mild Stress,19.1
0.766,0.388,1.024,-18.54,-12.82,1.446,0.708,Rice,Maturity,Healthy,10.4
0.846,0.422,1.038,-18.47,-12.64,1.461,0.54,Maize,Heading/Flowering,Healthy,9.3
0.216,0.428,0.967,-18.37,-13.5,1.361,0.017,Rice,Sowing,Healthy,4.3
0.276,0.316,1.205,-18.95,-13.9,1.363,0.944,Pulses,Harvest,Mild Stress,26.2
0.606,0.157,1.534,-20.02,-13.78,1.453,0.656,Pulses,Heading/Flowering,Severe Stress,53.6
0.88,0.281,1.255,-19.36,-12.79,1.514,0.492,Rice,Heading/Flowering,Moderate Stress,30.6
